description,name,image,number
"Retro lines need not stay in the past with the mid-century inspired lines of the Lucille Collection. With fabric offerings that range from neutral to bold such as beige, gray, blue, and orange further complemented with button-tufted accenting and stylishly appointed legs, this classic accent chair will provide a look that shows your personal style.",Lucille Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/1192GY__1-333x500.jpg,1192GY
"Retro lines need not stay in the past with the mid-century inspired lines of the Lucille Collection. With fabric offerings that range from neutral to bold such as beige, gray, blue, and orange further complemented with button-tufted accenting and stylishly appointed legs, this classic accent chair will provide a look that shows your personal style.",Lucille Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/1192BL__1-750x500.jpg,1192BL
"Retro lines need not stay in the past with the mid-century inspired lines of the Lucille Collection. With fabric offerings that range from neutral to bold such as beige, gray, blue, and orange further complemented with button-tufted accenting and stylishly appointed legs, this classic accent chair will provide a look that shows your personal style.",Lucille Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/1192BE__1-333x500.jpg,1192BE
 ,Temptation Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8337FA-3__2-750x500.jpg,8337FA-3
"Mid-Century modern design is the inspiration for the Deryn Collection. Wide, dramatically curved arms rise to the straight back that is synonymous with this classic style. Offered as a stand-alone accent to complement your homeâs dÃ©cor or as part of the full Deryn Collection, the chair is featured in a modern grey or teal herringbone pattern. Natural tone finished legs support the frame while tailored stitch tufting lends further accent to this thoroughly modern collection.",Deryn Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/8327GY-1S__1-333x500.jpg,8327GY-1S
"A tasteful accent to any room in your home is the Langdale Collection. The tufted fan back serves as the focal point, while dark cherry finish, on the wood legs, makes for a perfect contrast against either the oatmeal linen, french note, or grey chevron fabric offerings.",Langdale Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1212F4S__1-750x500.jpg,1212F4S
"A tasteful accent to any room in your home is the Barlowe Collection. The dark cherry finish of the wood legs is a perfect contrast for either the oatmeal linen or the french note fabric offerings. New fabric options include: blue, grey, dark teal, chain link print, and paisley print.",Barlowe Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1193F6S__1-333x500.jpg,1193F6S
"A tasteful accent to any room in your home is the Barlowe Collection. The dark cherry finish of the wood legs is a perfect contrast for either the oatmeal linen or the french note fabric offerings. New fabric options include: blue, grey, dark teal, chain link print, and paisley print.",Barlowe Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1193F7S__1-333x500.jpg,1193F7S
"A tasteful accent to any room in your home is the Barlowe Collection. The dark cherry finish of the wood legs is a perfect contrast for either the oatmeal linen or the french note fabric offerings. New fabric options include: blue, grey, dark teal, chain link print, and paisley print.",Barlowe Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1193F4S__1-333x500.jpg,1193F4S
"A tasteful accent to any room in your home is the Barlowe Collection. The dark cherry finish of the wood legs is a perfect contrast for either the oatmeal linen or the french note fabric offerings. New fabric options include: blue, grey, dark teal, chain link print, and paisley print.",Barlowe Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1193F5S__1-333x500.jpg,1193F5S
"A tasteful accent to any room in your home is the Barlowe Collection. The dark cherry finish of the wood legs is a perfect contrast for either the oatmeal linen or the french note fabric offerings. New fabric options include: blue, grey, dark teal, chain link print, and paisley print.",Barlowe Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1193F3S__1-333x500.jpg,1193F3S
"The slender-back profile of the Arles Collection gracefully gives way to the ample seat of this modern-traditional accent chair. High polish nail head accenting provides perfect contrast to the bold-hued coverings that are offered â blue, orange, and grey.",Arles Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1270F3S__1-333x500.jpg,1270F3S
"The slender-back profile of the Arles Collection gracefully gives way to the ample seat of this modern-traditional accent chair. High polish nail head accenting provides perfect contrast to the bold-hued coverings that are offered â blue, orange, and grey.",Arles Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1270F2S__1-333x500.jpg,1270F2S
"The slender-back profile of the Arles Collection gracefully gives way to the ample seat of this modern-traditional accent chair. High polish nail head accenting provides perfect contrast to the bold-hued coverings that are offered â blue, orange, and grey.",Arles Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1270F1S__1-333x500.jpg,1270F1S
"With a classic profile that is covered in a dark grey or blue fabric, the Essex Collection utilizes high polish nail head accenting to provide a modern twist to the design of this elegant accent chair. Rolled tufting furthers the traditional look as do the cherry finished support legs.",Essex Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1260F2S__1-333x500.jpg,1260F2S
"With a classic profile that is covered in a dark grey or blue fabric, the Essex Collection utilizes high polish nail head accenting to provide a modern twist to the design of this elegant accent chair. Rolled tufting furthers the traditional look as do the cherry finished support legs.",Essex Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1260F1S__1-333x500.jpg,1260F1S
The traditional wing back styling of the Adelaide Collection is given a modern touch with the addition of high polish nail head accenting. A light neutral fabric covering with matching kidney pillow allows for placement in a multitude of settings.,Adelaide Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1245F2S__1-333x500.jpg,1245F2S
"Traditionally framed with a slightly flared arm, the wing back Rhett Collection is a welcome addition to your home dÃ©cor. Contrasting dark nail head accent, and button tufting further the classic look of the collection.",Rhett Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1266F1S__1-333x500.jpg,1266F1S
"The elegant fan-like profile of the Georgia Collection is enhanced by traditional accents, that make this two-toned accent chair a beautiful addition to your home. The neutral toned seating features a decorative toss pillow with scroll embroidered design. Dark nail head accent trims the wing back frame and serves as a compliment to the dark brown herringbone style fabric of the back side of chair.",Georgia Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1257F1S__1-750x500.jpg,1257F1S
"Whether it is constraint of area or necessary for preparing a large meal, the home cook can always use a little extra functional space in the kitchen and providing that function is the Kady Collection. Offered in a white finish with a contrasting natural finish light solid wood top, the kitchen cart features drawer and door storage, casters for ease of movement, open display storage, brushed nickel knob hardware and side-mounted towel rack.",Kady Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4695WT-07__11-750x500.jpg,4695WT-07
"Whether it is constraint of area or necessary for preparing a large meal, the home cook can always use a little extra functional space in the kitchen and providing that function is the Zinnia Collection. Offered in a grey finish with contrasting natural finish light butcher block solid wood top, the kitchen cart features door and drawer storage, casters for ease of movement, lower level slat display storage, brushed nickel knob hardware and side mounted towel rack.",Zinnia Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4698GY-07__11-750x500.jpg,4698GY-07
"Whether it is constraint of area or necessary for preparing a large meal, the home cook can always use a little extra functional space in the kitchen, and providing that function is the Arbor Collection. Offered in a grey finish with contrasting natural finish light solid wood top, the kitchen cart features drawer storage, base cabinet for waste sorting, casters for ease of movement, side flanking rack storage, brushed nickel hardware and side mounted towel rack.",Arbor Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4699GY-07__11-750x500.jpg,4699GY-07
"Whether it is constraint of area or necessary for preparing a large meal, the home cook can always use a little extra functional space in the kitchen, and providing that function is the Denham Collection. Offered in a black finish with contrasting natural finish light solid wood top, the kitchen cart features double door base storage cabinet, wide width drawer storage, casters for ease of movement, open display storage, brushed nickel knob hardware and side mounted towel rack.",Denham Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4696BK-07__11-750x500.jpg,4696BK-07
"Whether it is constraint of area or necessary for preparing a large meal, the home cook can always use a little extra functional space in the kitchen and providing that function is the Canela Collection. Offered in a cream finish with contrasting espresso finish solid wood top, the kitchen cart features door and drawer storage, wine rack, drop side expandable top, wine rack, casters for ease of movement, open display storage, brushed nickel knob hardware and side mounted towel rack.",Canela Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4697CM-07__11-750x500.jpg,4697CM-07
"Fun, funky and functional, the Amara Collection will provide your home with interesting conversation pieces and a look that is as unique as you are. With the turn of a crank, the adjustable table (6414) can be raised or lowered to suit your individual needs. Black iron is complimented by the bold red and white hued design of the âAtellier Loftâ print that appears on the dining tabletop and carries its theme to the caster supported cocktail table (6409) â paired with our tractor seat adjustable iron barstool (6412), you will have created the creative focal point for your dining space.",Amara Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4618-07__11-333x500.jpg,4618-07
"The design of the Felicia Collection utilizes form and function to create a multi-use accent piece that presents the option of flexible placement in any home. Storage space is revealed when the padded seat is lifted, allowing for placement of your personal items. A light, neutral tone fabric covers this storage ottoman.",Felicia Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4612FA__11-750x500.jpg,4612FA
Providing a stylish and function addition to your home is the Fedora Collection. Designed for placement in a number of settings the top opens to reveal ample storage for your personal items. The ottoman is offered in the neutral tones of grey or brown for further decorative flexibility.,Fedora Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4614-F3__11-750x500.jpg,4614-F3
Providing a stylish and function addition to your home is the Fedora Collection. Designed for placement in a number of settings the top opens to reveal ample storage for your personal items. The ottoman is offered in the neutral tones of grey or brown for further decorative flexibility.,Fedora Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4614-F1__11-333x500.jpg,4614-F1
"Providing stylish storage space in your home is the Afton Collection. The button-tufted lift-top storage ottoman is offered in a cream fabric and bi-cast vinyl options in dark brown, purple, red and taupe. Turned legs support this lovely accent piece.",Afton Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4730TPE__11-333x500.jpg,4730TPE
"Providing stylish storage space in your home is the Afton Collection. The button-tufted lift-top storage ottoman is offered in a cream fabric and bi-cast vinyl options in dark brown, purple, red and taupe. Turned legs support this lovely accent piece.",Afton Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4730RED__11-333x500.jpg,4730RED
"Providing stylish storage space in your home is the Afton Collection. The button-tufted lift-top storage ottoman is offered in a cream fabric and bi-cast vinyl options in dark brown, purple, red and taupe. Turned legs support this lovely accent piece.",Afton Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4730PPE__11-333x500.jpg,4730PPE
"The Wichfield Collection provides a multi-functional option for your casual living space. Utilized as seating, storage ottoman or cocktail table, the unitâs lift-top function opens to reveal modest storage space, while the padded dark brown bi-cast vinyl-covered top provides comfort in those times that additional seating space is needed. Further enhancing the function of this piece is the wood display shelf that is finished in warm brown cherry.",Wichfield Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4611PU__11-750x500.jpg,4611PU
"Transitionally styled to accent a number of home decors and covered in dark brown bi-cast vinyl, the Staunton Collection provides the additional storage and seating space that your home requires. Metal riveted accents grace each corner of the unit and wood legs provide support. The lift-top of the ottoman opens to reveal storage space.",Staunton Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4742PU__11-750x500.jpg,4742PU
"As in many homes, the need for functional storage is great. The Clair Collection offers not only the function of storage, but seating as well. The unit is covered in a rich chocolate corduroy, leopard print, or purple medallion fabric and is also available in dark brown, red, taupe or purple bi-cast vinyl that features baseball stitching.",Clair Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/471RED__11-333x500.jpg,471RED
"As in many homes, the need for functional storage is great. The Clair Collection offers not only the function of storage, but seating as well. The unit is covered in a rich chocolate corduroy, leopard print, or purple medallion fabric and is also available in dark brown, red, taupe or purple bi-cast vinyl that features baseball stitching.",Clair Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/471PPE__11-750x500.jpg,471PPE
"As in many homes, the need for functional storage is great. The Clair Collection offers not only the function of storage, but seating as well. The unit is covered in a rich chocolate corduroy, leopard print, or purple medallion fabric and is also available in dark brown, red, taupe or purple bi-cast vinyl that features baseball stitching.",Clair Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/471TPE__11-333x500.jpg,471TPE
Danish mid-century modern design is infused in the style platform of the Bingsley Collection decorative ottoman bench that also served as additional seating. Wood framing features the expected delicate tapering of the legs classic to this style and provides an elegant contrast to the dark grey tone of the button-tufted fabric seat.,Bingsley Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4692-13__11-333x500.jpg,4692-13
"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Elegantly crafted stand features high quality metal and glass that comes in black finish. Great addition piece on your night stand, end table, or sofa table to create the mood in any room.",Eleena Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/H11762__1-333x500.jpg,H11762
"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Elegantly crafted stand features high quality metal and glass that comes in satin nickel finish. Great addition piece on your night stand, end table, or sofa table to create the mood in any room.",Annalina Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/H10076__2-750x500.jpg,H10076
"Ultra modern design accent lighting table lamp features polyresin silver orb ball intertwining curved LED lights infinity mirror that sits on elegantly crafted black pedestal. Great addition piece on your night stand, end table, or sofa table. Remarkable accent lighting that can enhance the surrounding ambiance; perfect for a night light, or a mood light to brighten up any room.",with light on Neleh Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/H19743__2__H19743_____with_light_on-750x500.jpg,H19743
"Modern design wall decorative infinity mirror features high quality wooden black frame design. When lights turned-off, it can be used as a wall decorative mirror, and when LED lights turned on, it illuminates 3 dimensional effects infinity mirrors. Great addition piece to enhance the surrounding ambiance; perfect for a night light, or a mood light to brighten up any room, and hallway.",Tejas Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/H10829__1-333x500.jpg,H10829
 ,Lambart Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/H11765__1-333x500.jpg,H11765
"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Beautifully crafted stand features high quality satin nickel finish metal and glass, and an elegant rectangular lamp shade on black base. It offers flexible lighting solution: a floor lamp with a main light that is suitable for reading, perfect for a night light, and to create the mood in any room.",with light on Noura Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/H11760__3__H11760_____with_light_on-333x500.jpg,H11760
"The floating orbital orbs accent lighting floor lamp gravity defying design features five aluminum wraped sparkling orbs suspended mid-air, arranged in orbital order on an elegant curved stand, illuminating warm white light rays. The piece is beautifully crafted using high quality satin nickel finish metal. Great accent lighting that can enhance the surrounding ambiance, perfect for a night light, or a mood light to brighten up any room.",with light on Inara Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/H11303__1__H11303_____with_light_on-333x500.jpg,H11303
"The floating orbital orbs accent lighting table lamp gravity defying design features three aluminum wraped sparkling orbs suspended mid-air, arranged in orbital order on an elegant curved stand, illuminating warm white light rays. The piece is beautifully crafted using high quality satin nickel finish metal. Remarkable addition piece on your night stand, end table, or sofa table. Great accent lighting that can enhance the surrounding ambiance, perfect for a night light, or a mood light to brighten up any room.",with light on Kiran Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/H11302__2__H11302_____with_light_on-750x500.jpg,H11302
"The metal saturn three orbs accent light gravity defying design features three aluminum wraped sparkling orbs suspended mid-air, illuminating warm white light rays. The piece is beautifully crafted using high quality satin nickel finish metal. Great accent lighting floor lamp that can enhance the surrounding ambiance, perfect for a night light, or a mood light to brighten up any room.",Diya Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/H11297__1-333x500.jpg,H11297
"The metal saturn three orbs accent light gravity defying design features three aluminum wraped sparkling orbs suspended mid-air, illuminating warm white light rays. The piece is beautifully crafted using high quality satin nickel finish metal. Remarkable addition piece on your night stand, end table, or sofa table. Great accent lighting table lamp that can enhance the surrounding ambiance, perfect for a night light, or a mood light to brighten up any room.",with light on Lenci Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/H11296__2__H11296_____with_light_on-750x500.jpg,H11296
"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Beautifully crafted stand features high quality satin nickel finish metal and glass, and an elegant circular lamp shade. Great addition piece on your night stand, end table, or sofa table. It offers flexible lighting solution: a table lamp with a main light that is suitable for reading, perfect for a night light, and to create the mood in any room.",with light on Etsu Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/H13441__2__H13441_____with_light_on-750x500.jpg,H13441
"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Beautifully crafted stand features high quality satin nickel finish metal and glass, and an elegant circular lamp shade. Great addition piece on your night stand, end table, or sofa table. It offers flexible lighting solution: a table lamp with a main light that is suitable for reading, perfect for a night light, and to create the mood in any room.",with light on Lenora Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/H13475__1__H13475_____with_light_on-333x500.jpg,H13475
"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Beautifully crafted stand features high quality satin nickel finish metal and glass, and an elegant circular lamp shade. Great addition piece on your night stand, end table, or sofa table. It offers flexible lighting solution: a table lamp with a main light that is suitable for reading, perfect for a night light, and to create the mood in any room.",with light on Lucian Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/H11761__1__H11761_____with_light_on-333x500.jpg,H11761
"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Beautifully crafted stand features high quality satin nickel finish metal and glass, and an elegant circular lamp shade. Great addition piece on your night stand, end table, or sofa table. It offers flexible lighting solution: a table lamp with a main light that is suitable for reading, perfect for a night light, and to create the mood in any room.",with light on Jair Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/H10130__3__H10130_____with_light_on-750x500.jpg,H10130
"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Beautifully crafted stand features high quality satin nickel finish metal and glass, and an elegant rectangular lamp shade on black base. Great addition piece on your night stand, end table, or sofa table. It offers flexible lighting solution: a table lamp with a main light that is suitable for reading, perfect for a night light, and to create the mood in any room.",with light on Jalen Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/H11759__1__H11759_____with_light_on-333x500.jpg,H11759
"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Beautifully crafted stand features high quality satin nickel finish metal and glass, and an elegant rectangular lamp shade. Great addition piece on your night stand, end table, or sofa table. It offers flexible lighting solution: a table lamp with a main light that is suitable for reading, perfect for a night light, and to create the mood in any room.",with light on Elan Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/H10128__3__H10128_____with_light_on-750x500.jpg,H10128
"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Beautifully crafted stand features high quality satin nickel finish metal and glass, and an elegant rectangular lamp shade on black base. Great addition piece on your night stand, end table, or sofa table. It offers flexible lighting solution: a table lamp with a main light that is suitable for reading, perfect for a night light, and to create the mood in any room.",Aura Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/H10081__5-750x500.jpg,H10081
"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Beautifully crafted stand features high quality white finish wood and glass, and an elegant rectangular lamp shade. Great addition piece on your night stand, end table, or sofa table. It offers flexible lighting solution: a table lamp with a main light that is suitable for reading, perfect for a night light, and to create the mood in any room.",with light off Lucca Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/H10125__2__H10125_____with_light_off-333x500.jpg,H10125
"Cottage styling is utilized to create the lovely Lourdes Collection accent console. Classic louver paneled doors along with the side column of flat paneled drawers open to reveal storage space. The unit is offered in either antique white or black finish, each featuring brushed nickel knob hardware.",Lourdes Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4688WHT__11-750x500.jpg,4688WHT
"Cottage styling is utilized to create the lovely Lourdes Collection accent console. Classic louver paneled doors along with the side column of flat paneled drawers open to reveal storage space. The unit is offered in either antique white or black finish, each featuring brushed nickel knob hardware.",Lourdes Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4688BLK__11-333x500.jpg,4688BLK
"Cottage styling is utilized to create this lovely Havisham Collection accent console. Classic louver paneled doors and flat paneled drawer open to reveal storage space. The unit is offered in either antique white or black finish, each featuring brushed nickel knob hardware.",Havisham Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4687WHT__11-333x500.jpg,4687WHT
"Cottage styling is utilized to create this lovely Havisham Collection accent console. Classic louver paneled doors and flat paneled drawer open to reveal storage space. The unit is offered in either antique white or black finish, each featuring brushed nickel knob hardware.",Havisham Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/4687BLK__11-750x500.jpg,4687BLK
"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from classic Louis Philippe styling. Featuring all the traditional flare unique to the style - antiqued metal bale hardware and distinct framing- this collection is a perfect addition to your traditional bedroom.",Mayville Collection ,https://www.homelegance.com/wp-content/uploads/2015/10/2147SG-12__1-333x500.jpg,2147SG-12
"In looking for an accent piece for your home, your desire style and functionality â the Rory Collection delivers on both counts. Offered in black bonded leather, grey linen fabric, and brown snakeskin print bi-cast vinyl, this decorative bench features button tufting and a continuous X-frame design. The padded seat, along with a clean design, provides the perfect spot for a moments rest.",Roy Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/4605NF__1-333x500.jpg,4605NF
"With a hint of whimsy and a nod to lake house living, the Hatchett Lake Collection will be the centerpiece of your living room. The functional bookcase takes shape in the form of a boat, complete with lighting, glass display shelves and door storage. A coordinating occasional offering is also available.",Hatchett Lake Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/3522-12__1-333x500.jpg,3522-12
