description,name,image,number
"A hint of retro styling provides a clean and classic look for your contemporary home in the Sinclair Collection. Offered in a traditional seating or sectional configuration, the options allow for the perfect placement within your living room. The collection is available in either chocolate or gray fabric with contrast pillows that furthers the look and versatility for placement within a number of home decors.",Sinclair Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8202GRY-SC__1-750x500.jpg,8202GRY-SC
"A hint of retro styling provides a clean and classic look for your contemporary home in the Sinclair Collection. Offered in a traditional seating or sectional configuration, the options allow for the perfect placement within your living room. The collection is available in either chocolate or gray fabric with contrast pillows that furthers the look and versatility for placement within a number of home decors.",Sinclair Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8202GRY-3__1-750x500.jpg,8202GRY-3
"Soft Contemporary styling lends a cool, classic look to your modern living space in the Barrington Collection. Stitch tufting provides soft contrast to the cleanly designed lines of this seating arrangement. The attached chaise lounge and accompanying ottoman provide the opportunity for putting your feet up while you enjoy your downtime. The seating group is offered in gray, black and brown bi-cast vinyl.",Barrington Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8378GRY-L__1-750x500.jpg,8378GRY-L
"Soft Contemporary styling lends a cool, classic look to your modern living space in the Barrington Collection. Stitch tufting provides soft contrast to the cleanly designed lines of this seating arrangement. The attached chaise lounge and accompanying ottoman provide the opportunity for putting your feet up while you enjoy your downtime. The seating group is offered in gray, black and brown bi-cast vinyl.",Barrington Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8378BLK-L__1-750x500.jpg,8378BLK-L
"Soft Contemporary styling lends a cool, classic look to your modern living space in the Barrington Collection. Stitch tufting provides soft contrast to the cleanly designed lines of this seating arrangement. The attached chaise lounge and accompanying ottoman provide the opportunity for putting your feet up while you enjoy your downtime. The seating group is offered in gray, black and brown bi-cast vinyl.",Barrington Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8378BRW-L__1-750x500.jpg,8378BRW-L
"Bringing to mind the sleek styling of an Italian race car, bold contemporary styling creates eye-catching drama for your living room with the Veloce Collection. Color blocked black and ivory bi-cast vinyl covers the ultra-low profile seating and accompanying glass-topped cocktail table, while chrome legs provide support.",Veloce Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8219-3__1-750x500.jpg,8219-3
Modern traditional styling makes for a lovely addition to your living room in the Marceau Collection. Flared arms meet the straight back to create a clean profile that is accented with high polish double nailhead. The front base rail features a single accent line of nailhead for an additional decorative touch. Button tufting lends to the tailored look of the collection.,Marceau Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8224TN-3__1-750x500.jpg,8224TN-3
Modern traditional styling makes for a lovely addition to your living room in the Marceau Collection. Flared arms meet the straight back to create a clean profile that is accented with high polish double nailhead. The front base rail features a single accent line of nailhead for an additional decorative touch. Button tufting lends to the tailored look of the collection.,Marceau Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8224DG-3__1-750x500.jpg,8224DG-3
"Traditional design accents combined with plush seating and moderate scale, make the Valentina Collection a welcome addition to your traditional or transitional home. Nail-head accents lend to the traditional feel, yet their over-sized design add a unique twist to the expected look. Overstuffed seating and backs allow for your comfort when entertaining or relaxing with family.",Valentina Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/9619DB-3__1-750x500.jpg,9619DB-3
Modern traditional styling is exemplified in the design of the Bechette Collection. Recessed rolled arms feature nailhead accent for profile definition and decorative touch while contrast toss pillows lend a soft modern look to the traditional frame.,Bechette Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8204-3__1-750x500.jpg,8204-3
"Casual traditional styling creates the look of the Cornelia Collection. The seating group is offered in two coverings, sand or dark gray fabric to easily blend and complement to your homeâs dÃ©cor. Nail head trim along with rolled arms lend to the soft traditional style.",Cornelia Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8216SD-3__1-750x500.jpg,8216SD-3
"Casual traditional styling creates the look of the Cornelia Collection. The seating group is offered in two coverings, sand or dark gray fabric to easily blend and complement to your homeâs dÃ©cor. Nail head trim along with rolled arms lend to the soft traditional style.",Cornelia Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8216DG-3__1-750x500.jpg,8216DG-3
"The perfect addition to your casual transitional living room is the Alain Collection. Amply appointed back and seat cushions provide the ultimate in comfort, while matching toss pillows lend a decorative touch. Lightly textured gray fabric provides visual and tactile interest.",Alain Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8225-3__1-750x500.jpg,8225-3
"Contemporary styling is exemplified in the design of the Iniko Collection. Offered in gray or red leather gel match coverings, the cleanly designed seating group will fit perfectly in your modern home. Chrome legs support and provide decorative accent that is in line with the sleek look of the collection.",Iniko Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8203GY-3__1-750x500.jpg,8203GY-3
"Contemporary styling is exemplified in the design of the Iniko Collection. Offered in gray or red leather gel match coverings, the cleanly designed seating group will fit perfectly in your modern home. Chrome legs support and provide decorative accent that is in line with the sleek look of the collection.",Iniko Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8203RD-3__1-750x500.jpg,8203RD-3
"Contemporary design is utilized to create the look of the Breaux Collection. The collection is offered in gray or sesame cover for ultimate design versatility, with two configurations â sofa with end chaise or traditional sofa, love seat and chair â allowing for perfect placement within your living room. Reversible back cushions further the functionality and chrome legs support and lend to the modern design.",Breaux Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8235SS__1-750x500.jpg,8235SS
"Contemporary design is utilized to create the look of the Breaux Collection. The collection is offered in gray or sesame cover for ultimate design versatility, with two configurations â sofa with end chaise or traditional sofa, love seat and chair â allowing for perfect placement within your living room. Reversible back cushions further the functionality and chrome legs support and lend to the modern design.",Breaux Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8235SS-3__1-750x500.jpg,8235SS-3
"Contemporary design is utilized to create the look of the Breaux Collection. The collection is offered in gray or sesame cover for ultimate design versatility, with two configurations â sofa with end chaise or traditional sofa, love seat and chair â allowing for perfect placement within your living room. Reversible back cushions further the functionality and chrome legs support and lend to the modern design.",Breaux Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8235GY__1-750x500.jpg,8235GY
"Contemporary design is utilized to create the look of the Breaux Collection. The collection is offered in gray or sesame cover for ultimate design versatility, with two configurations â sofa with end chaise or traditional sofa, love seat and chair â allowing for perfect placement within your living room. Reversible back cushions further the functionality and chrome legs support and lend to the modern design.",Breaux Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8235GY-3__1-750x500.jpg,8235GY-3
"Mid-Century modern design is the inspiration for the Deryn Collection. Wide, dramatically curved arms rise to the straight back that is synonymous with this classic style. Contrast toss pillows and an additional chair option are featured in a modern teal or gray herringbone pattern to complement the teal fabric, beige fabric and gray fabric seating body covers. Tailored stitch tufting lends further accent to this thoroughly modern collection. The collection is also available in chair, love seat, sofa and sectional covered with red or black leather gel match.",Deryn Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8327RED-CR__1-750x500.jpg,8327RED-CR
"Mid-Century modern design is the inspiration for the Deryn Collection. Wide, dramatically curved arms rise to the straight back that is synonymous with this classic style. Contrast toss pillows and an additional chair option are featured in a modern teal or gray herringbone pattern to complement the teal fabric, beige fabric and gray fabric seating body covers. Tailored stitch tufting lends further accent to this thoroughly modern collection. The collection is also available in chair, love seat, sofa and sectional covered with red or black leather gel match.",Deryn Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8327RED-3__1-750x500.jpg,8327RED-3
"Mid-Century modern design is the inspiration for the Deryn Collection. Wide, dramatically curved arms rise to the straight back that is synonymous with this classic style. Contrast toss pillows and an additional chair option are featured in a modern teal or gray herringbone pattern to complement the teal fabric, beige fabric and gray fabric seating body covers. Tailored stitch tufting lends further accent to this thoroughly modern collection. The collection is also available in chair, love seat, sofa and sectional covered with red or black leather gel match.",Deryn Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8327BLK-CR__1-750x500.jpg,8327BLK-CR
"Mid-Century modern design is the inspiration for the Deryn Collection. Wide, dramatically curved arms rise to the straight back that is synonymous with this classic style. Contrast toss pillows and an additional chair option are featured in a modern teal or gray herringbone pattern to complement the teal fabric, beige fabric and gray fabric seating body covers. Tailored stitch tufting lends further accent to this thoroughly modern collection. The collection is also available in chair, love seat, sofa and sectional covered with red or black leather gel match.",Deryn Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8327BLK-3__1-750x500.jpg,8327BLK-3
"Mid-Century modern design creates the look of the Erath Collection. High seatbacks and low slung arms lend shape to the profile of the collection while the dramatic tones of blue, orange and sand create visual and decorative interest. Splayed wood legs that are synonymous with mid-century styling support this modern seating group.",Erath Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8244SD-3__1-750x500.jpg,8244SD-3
"Mid-Century modern design creates the look of the Erath Collection. High seatbacks and low slung arms lend shape to the profile of the collection while the dramatic tones of blue, orange and sand create visual and decorative interest. Splayed wood legs that are synonymous with mid-century styling support this modern seating group.",Erath Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8244RN-3__1-750x500.jpg,8244RN-3
"Mid-Century modern design creates the look of the Erath Collection. High seatbacks and low slung arms lend shape to the profile of the collection while the dramatic tones of blue, orange and sand create visual and decorative interest. Splayed wood legs that are synonymous with mid-century styling support this modern seating group.",Erath Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8244BU-3__1-750x500.jpg,8244BU-3
"Mid-Century modern design is updated in the uniquely styled Ajani Collection. Delicately flared track arms along with the raised seat back create a wide profile that creates an inviting platform for your living space. The seating group is offered in three fabric options, teal, beige and gray, for perfect placement that coordinates with your decorative touch.",Ajani Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8379TL-3__1-750x500.jpg,8379TL-3
"Mid-Century modern design is updated in the uniquely styled Ajani Collection. Delicately flared track arms along with the raised seat back create a wide profile that creates an inviting platform for your living space. The seating group is offered in three fabric options, teal, beige and gray, for perfect placement that coordinates with your decorative touch.",Ajani Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8379BE-3__1-750x500.jpg,8379BE-3
"Mid-Century modern design is updated in the uniquely styled Ajani Collection. Delicately flared track arms along with the raised seat back create a wide profile that creates an inviting platform for your living space. The seating group is offered in three fabric options, teal, beige and gray, for perfect placement that coordinates with your decorative touch.",Ajani Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8379GY-3__1-750x500.jpg,8379GY-3
"At home in a soft contemporary or modern traditional home, the Lotte Collection will be a stylish addition to your living space. Wood legs rise to support the frame of this seating group, lending a clean and airy feel to the look of the collection. Contoured track arms and contrast toss pillows further the sophisticated, stylish profile.",Lotte Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8207-3__1-750x500.jpg,8207-3
A classic and functional option for your living room is the Kenner Collection. Unfettered design allows for your individual decorative aspirations to soar. The sofa is available in both a pull out sleeper or traditional setup. The sofa and love seat are paired with contrast pillows. Two fabric options are available â Gray or Brown fabric â for versatile placement in a number of environments.,Kenner Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8245BR-3__1-750x500.jpg,8245BR-3
A classic and functional option for your living room is the Kenner Collection. Unfettered design allows for your individual decorative aspirations to soar. The sofa is available in both a pull out sleeper or traditional setup. The sofa and love seat are paired with contrast pillows. Two fabric options are available â Gray or Brown fabric â for versatile placement in a number of environments.,Kenner Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8245GY-3__1-750x500.jpg,8245GY-3
"Wide arm contemporary framing is accented with bold nail heads in the Gowan Collection. Eight-way hand-tied seat construction provides support for the feather and polyester blend seating. Offered in dark brown leather gel match, beige chenille and brown chenille, the neutral tone bodies are complemented by the contrasting geometric pattern toss pillows and nail head accented ottoman.",Gowan Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8477DB-3__1-750x500.jpg,8477DB-3
"Modern classic styling paired with glamorous elements creates a unique addition to your living room in the Temptation Collection. Light gray fabric features subtle texture with a bold accenting outer body cloth providing visual interest. The steel blue quatrefoil pattern adorns the armâs end panels, ottoman and toss pillows, with additional comfort provided by steel blue contrast pillows. Oversize nailhead accent follows the form of the seating group defining the profile of each piece in the collection.",Temptation Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8337FA-3__1-750x500.jpg,8337FA-3
"With a design that is driven by trend and style, the classic look of the Savonburg Collection blends with a number of modern and traditional settings. This Chesterfield style seating group is offered in neutral tone fabric and features button tufting and a heavily rolled arm that transitions to encompass the entire back of each piece in the collection. The substantial size of this offering allows for maximum comfort that is enhanced by the accompanying toss pillows. Offered in both sectional and traditional seating styles.",Savonburg Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8427-CR__1-750x500.jpg,8427-CR
"Modern traditional design is executed with perfection in the Clemencia Collection. Contoured low-profile english roll arms paired with button tufting and contrast pillows create a warm and inviting option for your living room. Natural colored fabric covers, complete the traditional look of the collection.",Clemencia Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8380-3__1-750x500.jpg,8380-3
Your traditional home will be perfectly outfitted with the addition of the Grande Isle Collection. The show wood frame defines the profile of the collection while the two available cover options - Brown fabric with bi-cast vinyl accent or red print fabric â lend further traditional emphasis. Contrast toss pillows complete the look.,Grande Isle Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8234RD-3__1-750x500.jpg,8234RD-3
Your traditional home will be perfectly outfitted with the addition of the Grande Isle Collection. The show wood frame defines the profile of the collection while the two available cover options - Brown fabric with bi-cast vinyl accent or red print fabric â lend further traditional emphasis. Contrast toss pillows complete the look.,Grande Isle Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8234TT-3__1-750x500.jpg,8234TT-3
"Classically styled for the most traditional of homes, the Thibodaux Collection will complete the vision you have for your elegant living room. Offered in two coverings â Brown fabric with bi-cast vinyl accent or a neutral toned acanthus print fabric â the collection combines these covers with a dramatic show wood frame that features carvings and scrolled arms. Contrast toss pillows complete the look.",Thibodaux Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8233TT-3__1-750x500.jpg,8233TT-3
"Classically styled for the most traditional of homes, the Thibodaux Collection will complete the vision you have for your elegant living room. Offered in two coverings â Brown fabric with bi-cast vinyl accent or a neutral toned acanthus print fabric â the collection combines these covers with a dramatic show wood frame that features carvings and scrolled arms. Contrast toss pillows complete the look.",Thibodaux Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8233FA-3__1-750x500.jpg,8233FA-3
Classic elements combine to create the refined styling of the Moorewood Park Collection. The casual pecan finish over pecan veneers of the show wood frame belies the expected vision of stuffy traditional design with the light finish creating a unique statement to the medallion and gracefully scrolled motifs that lend accent to the profile of the collection. The natural tone fabric body of the seating collection is accented beautifully with contrast toss pillows highlighted with subtle shades of cream and teal. The collection also features reversible seat cushions. Button tufting and gracefully scrolled arms lend to the elegant traditional styling.,Moorewood Park Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/17049-3__1-750x500.jpg,17049-3
Traditional design elements lend and air of refined relaxation to the Midwood Collection. The rolled arms and camelback design feature nail head accent while the contrasting show wood routed frame accentuates the brown bonded leather match or the chocolate chenille covering in this traditional seating group.,Midwood Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/9616CN-3__11-750x500.jpg,9616CN-3
"The timeless look of traditional styling is achieved in the design of the Mandeville Collection. Brown chenille fabric is paired with a show wood frame to create a delicate contrast of textures. Elegant carvings, contrast toss pillows and a curved arm profile further lend to the classic look.",Mandeville Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8239-3__1-750x500.jpg,8239-3
"Plush seating is paired with brown top grain leather and vinyl match in the Mahala Collection to create the ultimate platform for relaxation. Offered in two reclining options, a manual or power engaged. The motion mechanisms allow for quick transition from seated to prone with either the quick pull of the manual tab or the push of the power button.",Mahala Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8200BRW-3__11-750x500.jpg,8200BRW-3
"Plush seating is paired with brown top grain leather and vinyl match in the Mahala Collection to create the ultimate platform for relaxation. Offered in two reclining options, a manual or power engaged. The motion mechanisms allow for quick transition from seated to prone with either the quick pull of the manual tab or the push of the power button.",Mahala Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8200BRW-3PW__1-750x500.jpg,8200BRW-3PW
"Transitional styling is enhanced by the brown top grain leather with vinyl matched covering and the ample seating of the Spruce Collection. Offered in two reclining options, âmanual or power engaged. The motion mechanisms allow for quick transition from seated to prone with either the quick pull of the manual tab or the push of the power button.",Spruce Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8399-3PW__1-750x500.jpg,8399-3PW
"Designed for comfort, the Nicasio Collection will provide a restful place in which to unwind. Low profile arms feature subtle stitch tufting that complements the transitional styling of the seating group. The all leather covering is available in dark brown or black providing a neutral palate from which to extend your personal decorative style. Power reclining mechanisms allow for the smooth transition from seated to prone, with the press of a button.",Nicasio Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8223DB-3PW__1-750x500.jpg,8223DB-3PW
"Designed for comfort, the Nicasio Collection will provide a restful place in which to unwind. Low profile arms feature subtle stitch tufting that complements the transitional styling of the seating group. The all leather covering is available in dark brown or black providing a neutral palate from which to extend your personal decorative style. Power reclining mechanisms allow for the smooth transition from seated to prone, with the press of a button.",Nicasio Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8223BK-3PW__1-750x500.jpg,8223BK-3PW
"Contemporary styling blends with supreme comfort in the Corazon Collection. Complementing gray fabric lends contrast to the navy gray top grain leather cover. Power reclining mechanisms bring you to a prone position with the touch of a button on the sofa, love seat, and accompanying chair.",Corazon Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8355-3PW__1-750x500.jpg,8355-3PW
"The classic transitional styling of the Jarita Collection creates a look that is perfect for your casual living space. Offered in black or brown bi-cast vinyl, or the newly available chocolate fabric, each piece in the collection offers plush seats, backs and arms. With the pull of the manual reclining mechanism, you are taken from a seated to prone position in an easy motion.",Jarita Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8329CH-3__1-750x500.jpg,8329CH-3
"With styling that lends to either transitional or contemporary living spaces, the Taye Collection will provide a comfortable platform for your much deserved downtime. Gray leather gel match covers this plush seating group. Manually engaged motion mechanisms allow for quick transition from seated to prone with the quick pull of a tab. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends, the dual glider reclining ends of the love seat flank a center mounted console with storage and cup-holders, and the chair features a glider mechanism that allows for easy back and forth motion.",Taye Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8210GRY-3__1-750x500.jpg,8210GRY-3
"At home in transitional to contemporary settings, the Oriole will be a welcome addition to your living room. The black AireHyde match cover is utilized for comfort and durability. Ample seating creates a plush platform for your relaxation, with each piece in the collection offering unique functionality. The dual reclining sofa features a drop-down center seatback that opens to reveal a table top and cup holders. Glider reclining mechanisms provide additional comfort on the love seat with center console unit. The Chair completes the seating collection with swivel and glider reclining function.",Oriole Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8334DBR-3__1-750x500.jpg,8334DBR-3
"Plush seating with well-appointed features makes the Jude Collection a comfortable and functional addition to your living room. The seating group is offered in either brown or black leather gel match coverings for a bold, yet, neutral statement. Manual motion mechanisms operate with the pull of a side-mounted tab, that once engaged, take you from seated to reclined in an easy motion. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends and a drop down center seat back with cup-holders and tabletop space, the dual glider reclining ends of the love seat flank a center mounted console with storage and cup-holders, and the chair features a glider mechanism that allows for easy back and forth motion.",Jude Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8201BRW-3__1-750x500.jpg,8201BRW-3
"Plush seating with well-appointed features makes the Jude Collection a comfortable and functional addition to your living room. The seating group is offered in either brown or black leather gel match coverings for a bold, yet, neutral statement. Manual motion mechanisms operate with the pull of a side-mounted tab, that once engaged, take you from seated to reclined in an easy motion. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends and a drop down center seat back with cup-holders and tabletop space, the dual glider reclining ends of the love seat flank a center mounted console with storage and cup-holders, and the chair features a glider mechanism that allows for easy back and forth motion.",Jude Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8201BLK-3__1-750x500.jpg,8201BLK-3
"With amply appointed offerings that create not only a comfortable seating experience but a functional one as well, the Aram Collection will be a welcome addition to your home. The seating group is offered in a brown fabric or dark brown AireHyde for comfort and style that will blend effortlessly with your transitional decorative preference. Manual motion mechanisms operate with the pull of a side-mounted tab, that once engaged, take you from seated to reclined in an easy motion. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends and a drop down center seat back with cup-holders, electric receptacles, USB port and tabletop space, the dual glider reclining ends of the love seat flank a center mounted console with storage, electric receptacles and cup-holders, and the reclining chair features a glider mechanism that allows for easy back and forth motion.",Aram Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8206NF-3__1-750x500.jpg,8206NF-3
"With amply appointed offerings that create not only a comfortable seating experience but a functional one as well, the Aram Collection will be a welcome addition to your home. The seating group is offered in a brown fabric or dark brown AireHyde for comfort and style that will blend effortlessly with your transitional decorative preference. Manual motion mechanisms operate with the pull of a side-mounted tab, that once engaged, take you from seated to reclined in an easy motion. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends and a drop down center seat back with cup-holders, electric receptacles, USB port and tabletop space, the dual glider reclining ends of the love seat flank a center mounted console with storage, electric receptacles and cup-holders, and the reclining chair features a glider mechanism that allows for easy back and forth motion.",Aram Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8206BRW-3__1-750x500.jpg,8206BRW-3
"Designed for your transitionally decorated living space, the Okello Collection provides a plush platform to enjoy your relaxation moment. Strategically placed stitching provides contouring that enhances your comfort and lends visual interest. This seating group is covered in brown AireHyde match furthering the transitional look. Manually engaged motion mechanisms allow for quick transition from seated to prone with the quick pull of a tab. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends, the dual glider reclining ends of the love seat flank a center mounted console with storage and cup-holders, and the chair features a glider mechanism that allows for easy back and forth motion.",Okello Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8370BRW-3__1-750x500.jpg,8370BRW-3
"Sectional seating allows for the intersection of ample seating space and comfort in the Ynez Collection. Chocolate fabric covers the seats and backrest of this casual offering with the contrasting texture of brown leather gel providing a visual and functional touch to the arms, back and base rail. Dual recliners bookend the armless chair, armless reclining chair, console and corner unit creating a comfortable spot for your friends and family to gather.",Ynez Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8212-AC__1-750x500.jpg,8212-AC
"The substantial size and customizable configuration of the Shreveport Collection creates the perfect platform for relaxation in your living space. Bookending this seating group are the left or right end units that are offered as reclining chair or push back reclining chaise. An armless chair, console unit, corner seat, and armless reclining chair make up the middle part of this sectional offering.",Shreveport Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8238-AC__1-750x500.jpg,8238-AC
"With a configuration options that allow for placement that is perfect for your space, the Columbus Collection will be a welcome addition to your living room. Ample seating is covered in either cobblestone fabric or dark brown breathable faux leather resulting in a pleasurable seating experience. Bookending this substantially sized seating group are the left or right end units that are offered as reclining chair or push back chaise. Armless chair, console unit, corner seat, and armless reclining chair make up the middle part of this sectional offering.",Columbus Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8490FBR-AC__1-750x500.jpg,8490FBR-AC
"Ultra-modern design combined with convenient function makes the Amite Collection a stylish addition to your contemporary home. Beige leather gel match is perfectly complemented by dark brown accenting on the seatbacks, seats and arms, providing contrast and definition to the profile of the collection. With the push of the power reclining mechanism, the end and armless reclining chairs recline to the prone position. The console unit features hidden storage as well as cup holders for convenient functional use. The corner center unit and stationary armless chair do not recline.",Amite Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8229-AC__2-750x500.jpg,8229-AC
"Soft modern styling paired with the ample size of the Kismet Collection creates a dramatic look for your casual living room. Power reclining mechanisms extend the end recliners of the two one arm love seats while power armless reclining chair and center corner provide additional seating within the defined space of the sectional. For additional styling complement, the seating group is covered in gray AireHyde match.",Kismet Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/8369GY-2LPW__1-750x500.jpg,8369GY-2LPW
