number,name,description,image
8378BRW-L,Barrington Collection ,"Soft Contemporary styling lends a cool, classic look to your modern living space in the Barrington Collection. Stitch tufting provides soft contrast to the cleanly designed lines of this seating arrangement. The attached chaise lounge and accompanying ottoman provide the opportunity for putting your feet up while you enjoy your downtime. The seating group is offered in gray, black and brown bi-cast vinyl.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8378BRW-L -R -4.jpg
5877BR-1DW*,Fairborn Collection,"The stately profile of the Fairborn Collection will lend an air of understated elegance to your bedroom. The mansion headboard features nailhead accent and button tufting creating a modern traditional look that defines your personal style. Providing additional function to the bed is the footboard which extends to expose drawer space to meet your additional storage needs. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5877BR-1DW.jpg
5488-36RD,Beacher Collection ,"Elevating to suit your needs, the Beacher Collection is a fun and functional addition to your industrial styled home. Metal legs rise to support the turn-rod adjustable height table and stools creating a platform that can be customized at any given time. Weathered wood veneer is segmented into a quadrant pattern on the tabletop for visual interest with faux riveted metal banding providing accent to the table and stools.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5488-36RD.jpg
1737W-1,Lyric Collection ,"Taking the expected design elements of hard contemporary and putting a decidedly feminine curve into the mix makes the Lyric Collection a unique addition to your new bedroom design. With each curve comes a new twist - satin nickel hardware accents the glossy white finish, bow-front case pieces feature ball bearing drawer glides and compliment the padded sleigh headboard & footboard, while a round, contemporary mirror reflects the modern designs that you have selected. A final, unique, addition to the collection is the glass topped night stand that furthers the contemporary feel.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1737W-1.jpg
5876BE-1*,Neunan Collection,"The distinct mansion style headboard of the Neunan Collection provides an elegant focal point for your bedroom. With styling that lends to placement in contemporary or transitional environments, the clean lines await your personal touch. Drawer builds into the footboard, providing additional function to storage your essentials. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5876BE-1.jpg
5580-95*,Wheaten Collection,"Rustic industrial styling lends accent to the transitional design of the Wheaten Collection. The natural finish of the quarter-cut ash veneer highlights its distinct wood grain. Neutral toned fabric is accented with burnished nailheads for complementing contrast. Also available is the server that features a barn door style glide, allowing for lateral movement of the door, revealing drawer storage as well as a wine bottle rack and wine glass display.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5580-95+5580S+5580-40.jpg
1708-1,Odelia Collection ,"Making a statement to the glamorous nature of your personal design aesthetic is the Odelia Collection. The striking silver finish of the collection serves to highlight the decorative accents that reign the design – crocodile embossed drawer fronts with polished nickel hardware, mirrored top drawer fronts with their faceted knob hardware and crystal-embellished button-tufted pearl bi-cast vinyl inserts on the headboard and foot board. The available twin, full, queen, Eastern King and California King bed options allow for perfect placement in your bedroom space.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1708-1.jpg
5504-78,Stevensville Collection ,"Rustic styling, that is so popular in the décor of many homes, is executed in the design of the Stevensville Collection. Rough-hewn plank effect hardwood veneers feature a dark finish that effectively captures the highs and lows of the wood grain. Accompanying the casual dining group is the server with rolling barn hardware that allows the door to float from open to closed, exposing ample storage space. Ladder back chairs are framed in wood and feature neutral tone fabric seats.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5504-78.jpg
8469-3,St. Claire Collection ,Graceful curves are elegantly appointed in the St. Claire Collection. Delicate herringbone style fabric presents as the initial look into the traditional style of this seating group with prevalent button-tufted accenting that is hard to overlook. The rolled arms and bowed seatbacks present an air of femininity while lending curvaceous inspiration to the traditional chaise lounge. Cherry finished turn legs provide support and complement the brown tone of the fabric.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8469_a.jpg
H10125,Lucca Collection,"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Beautifully crafted stand features high quality white finish wood and glass, and an elegant rectangular lamp shade. Great addition piece on your night stand, end table, or sofa table. It offers flexible lighting solution: a table lamp with a main light that is suitable for reading, perfect for a night light, and to create the mood in any room.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/H10125_c.jpg
8229-AC,Amite Collection ,"Ultra-modern design combined with convenient function makes the Amite Collection a stylish addition to your contemporary home. Beige leather gel match is perfectly complemented by dark brown accenting on the seatbacks, seats and arms, providing contrast and definition to the profile of the collection. With the push of the power reclining mechanism, the end and armless reclining chairs recline to the prone position. The console unit features hidden storage as well as cup holders for convenient functional use. The corner center unit and stationary armless chair do not recline.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8229_LRPW%2BCN%2BAC%2BCR%2BAC%2BCN%2BRRPW.jpg
5547-78*,Mantello Collection,"Transitionally styled for your home is the Mantello Collection. Offered in traditional dining height and counter height options, the collection’s cherry finish over mango veneer and classic styling will provide the perfect platform for your mealtime gatherings. Dark brown bi-cast vinyl covers the available side chairs and bench offerings – traditional flat seat bench for the dining height table and wood-backed seat bench for the counter height table. – with the selection of seating being configurable to your specific wants and needs. The available server provides functional storage for your tabletop accessories as well as wine bottle rack and glass display.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5547-78.jpg
1192RN,Lucille Collection ,"Retro lines need not stay in the past with the mid-century inspired lines of the Lucille Collection. With fabric offerings that range from neutral to bold such as beige, gray, blue, and orange further complemented with button-tufted accenting and stylishly appointed legs, this classic accent chair will provide a look that shows your personal style.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1192RN.jpg
8228TP,Ferriday Collection ,"Providing the flexible option for relaxation, sleep and storage, the Ferriday Collection will be a stylish and functional addition to your living room. Under seat storage is revealed with the pull of a tab on the end chaise. The lower portion of the seating configuration pulls out to reveal a pop up trundle that creates a bed space creating a relaxing environment with minimal effort. The collection is offered in blue or taupe fabric, both with contrast stitching.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8228TP.jpg
8235SS-3,Breaux Collection ,"Contemporary design is utilized to create the look of the Breaux Collection. The collection is offered in gray or sesame cover for ultimate design versatility, with two configurations – sofa with end chaise or traditional sofa, love seat and chair – allowing for perfect placement within your living room. Reversible back cushions further the functionality and chrome legs support and lend to the modern design.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8235SS.jpg
5328-45RD,Veltry Collection ,"Creating a unique style that blends femininity with gracefully weathered industrial accenting, the Veltry Collection provides an unexpectedly elegant addition to a number of dining spaces. A weathered finish covers the poplar wood veneer of the two table options; a 95.5-inch rectangular trestle table or 45-inch round pedestal table, both featuring nail head accent banding. Nailhead-accented, neutral-tone finished fabric chairs provide subtle contrast that complements the look of the collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5328-45RD.jpg
8245GY-3,Kenner Collection ,A classic and functional option for your living room is the Kenner Collection. Unfettered design allows for your individual decorative aspirations to soar. The sofa is available in both a pull out sleeper or traditional setup. The sofa and love seat are paired with contrast pillows. Two fabric options are available – Gray or Brown fabric – for versatile placement in a number of environments.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8245GY.jpg
1883N-1,Wade Collection ,"Drawing inspiration from traditional Danish modern design, the neutral grey tone of the Wade Collection lends to the contemporary feel. The low-profile bed features a button-tufted shelter headboard.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1883N-1.jpg
1356TBK-1,Morelle Collection ,The warmth of cottage living is invoked by the classic styling of the adult and youth Morelle Collection. The low post bed features picture framing and round finials with the case pieces featuring molded drawer fronts and knob hardware. The newly offered cherry finish offers an additional option to the classic black and white finishes that are currently available.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1356TBK-1.jpg
1270F2S,Arles Collection ,"The slender-back profile of the Arles Collection gracefully gives way to the ample seat of this modern-traditional accent chair. High polish nail head accenting provides perfect contrast to the bold-hued coverings that are offered - blue, orange, and grey.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1270F2S.jpg
586-82,Ameillia Collection ,"The solid, clean lines of the Arts and Crafts movement are interpreted from modern times in the Ameillia Collection. Substantial tapered legs and the wood veneer complement this simple and refined dining offering. Newly offered in a grey with brown undertone finish, the collection is also available in a dark oak finish. The rectangular table is flanked by the perfectly coordinating chair or bench option.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/586-82.jpg
1191F4S,Orson Collection ,"The padded upper back of the Orson Collection is supported by wooden slats that give way to the substantially sized seat of this whimsical accent chair. The collection has six available fabric options - Blue tonal stripe, Black & White swirl, Multi-color poppies, Purple Medallion, Voyage and Grey Medallion.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1191f4s_2014H-78.jpg
1255F1S,Alta Collection ,"Blending the comfort of a lounge chair with the functionality of the internal lift mechanism, the Alta Collection will be a welcome addition to your home. With an electric mechanism that, with a push of a button, takes you from fully reclined to standing, this chair aids in your mobility. The lift chair is offered in dark brown bi-cast vinyl, with contrast stitching, for versatile placement in your transitional to contemporary home.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1255F1S 1249F1S.jpg
5877GY-1*,Fairborn Collection,"The stately profile of the Fairborn Collection will lend an air of understated elegance to your bedroom. The mansion headboard features nailhead accent and button tufting creating a modern traditional look that defines your personal style. Providing additional function to the bed is the footboard which extends to expose drawer space to meet your additional storage needs. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5877GY-1.jpg
5876BE-1DW*,Neunan Collection,"The distinct mansion style headboard of the Neunan Collection provides an elegant focal point for your bedroom. With styling that lends to placement in contemporary or transitional environments, the clean lines await your personal touch. Drawer builds into the footboard, providing additional function to storage your essentials. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5876BE-1DW.jpg
3581-30,Chehalis Collection ,"With a design that is inspired by the traditional look of Craftsman furniture, the Chehalis Collection features slate inlay on the table fronts, and a brown cherry finish that enhances the oak veneers of this well-appointed occasional offering. The cocktail table has a lift mechanism that allows for the extension of the table's top towards your seated position. Drawers feature prominently allowing ample storage space for your personal affects.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3581-30.jpg
8230BRW-2L,Bastrop Collection ,"Comfort is the name of the game in the Bastrop Collection. The collection is offered in several configurations – traditional sofa, love seat and chair, and sectional – for versatile placement in your living room maximum relaxation potential in your downtime. The two optional coverings – black or brown leather gel match – feature contrast welting for definition of profile and modern accenting. Manually engaged motion mechanisms allow for quick transition from seated to prone with the quick pull of a tab. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends, the dual glider reclining ends of the love seat flank a center mounted console with storage and cup-holders, and the chair features a glider mechanism that allows for easy back and forth motion. The sectional configuration features a left side love seat with reclining end and the right side double reclining love seat with center console unit featuring cup holders and storage.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8230BRW_2L%2BCR%2B2RCN.jpg
2147-12,Mayville Collection ,"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes – burnished brown cherry, white, black, and the newly offered stained grey – with all of the traditional flare unique to the style – antiqued metal bale hardware and distinct framing – this collection is a perfect addition to your traditional adult or youth bedroom.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2147-12.jpg
1828-1,Chambord Collection ,"Modern elegance takes form in the Chambord Collection. Immediately catching your eye is the striking champagne gold finish, an opulent mix of silver and gold hues, elegantly accented by the faux silk fabric and gold brushed hardware that is featured on select pieces of the collection.  The serpentine-fronted case pieces are adorned with canted pilasters featuring overlay fretwork, scalloped bases and a delicately splayed cabriole leg. Further lending to the lavish look of the collection is the faux silk rolled, button-tufted bed. The low profile footboard allows for an unrestricted view of the magnificent headboard.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1828-1.jpg
5167-96,Yates Collection ,"Blending the look of country style with the popular modern industrial aesthetic, the Yates Collection manages to achieve a look that is unique unto itself. The turned legs of the trestle base rise to support the burnished dark oak table top. Neutral fabric covered chairs feature wood support legs – with a unique turned block look – and nailhead accent. The accompanying china’s mirrored back, display shelving, light feature, lower door storage, and drawer storage provide ample room to show off your table top accessories. The look of turned pilasters and framed panel doors further lend to the stylish collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5167-96.jpg
5876GY-1*,Neunan Collection,"The distinct mansion style headboard of the Neunan Collection provides an elegant focal point for your bedroom. With styling that lends to placement in contemporary or transitional environments, the clean lines await your personal touch. Drawer builds into the footboard, providing additional function to storage your essentials. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5876GY-1.jpg
1212F1S,Langdale Collection ,"A tasteful accent to any room in your home is the Langdale Collection. The tufted fan back serves as the focal point, while dark cherry finish, on the wood legs, makes for a perfect contrast against either the oatmeal linen, french note, or grey chevron fabric offerings.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1212f2s_2014H-84.jpg
1200BRW,Moderne Collection ,"Drawing inspiration from the timeless look of Art Deco lounges, the Moderne Collection will add a hint of masculine aesthetic to your home's décor. Hugging the contour of your body, the curved seat and back of the low-profile chair sits atop a swivel base allowing for 360-degree movement. The chair is covered in black or brown bi-cast vinyl with nailhead and roll-tucked back accent.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1200BRW.jpg
1212F2S,Langdale Collection ,"A tasteful accent to any room in your home is the Langdale Collection. The tufted fan back serves as the focal point, while dark cherry finish, on the wood legs, makes for a perfect contrast against either the Oatmeal-Colored or the French Note fabric offerings.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1212f1s_C(2014)_2015S-134.jpg
5538W,Florian Collection ,Ultra modern styling is exemplified with the design of the Florian Collection. The collection is offered in two color options – black metal legs with black glass top or white metal legs with clear glass top – for the perfect fit in your casual dining space. Bi-cast vinyl covered seats in coordinating black or white complete the contemporary look.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5538W.jpg
3228-15,Factory Collection ,Blending the look of vintage industrial with modern design is the Factory Collection. Burnished rustic wood planks make up the desk top and features wrought iron style metal framing that supports both the top and the wooden display shelves. The continuous finished design makes this unit flexible for placement as a freestanding piece. Matching bookcase and occasional tables are also available.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3228-15.jpg
1715-36*,Holverson Collection,"Heavily influenced by industrial design, the Holverson Collection will lend a unique look to your personal space. Metal framing provides sturdy structure and profile to each piece in this collection. Faux rivets provide additional detail to the metal bracketing that is prominently on display. The two table offerings – rectangular dining height and fixed-top counter height - allow for perfect placement within your casual dining space. Side chair for both table heights present the opportunity to customize seating to fit your lifestyle. A rustic brown milk crate finish is utilized to highlight the acacia veneer. The open display hutch paired with the drop front server base, provides ample display and behind door storage for your tabletop accessories.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1715-36.jpg
5797N-1,Ember Collection ,Light neutral toned fabric and nail head accent create a classic look that makes the Ember Collection a perfect choice for a multitude of bedroom decors.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5797N-1.jpg
1277,Adlai Collection ,"Complementing your home’s décor is the Adlai Collection. The modern wingback accent chair is offered in a blue or gray quatrefoil pattern, adding distinct flair to any room in your home. Wood legs support, lending further accent to the modern traditional profile of the chair.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1277F1S 1277F2S.jpg
1349-1,Glamour Collection ,The beauty of the Glamour Collection lies in the simple lines and style. The panel headboard and footboard feature a metal grid pattern to give your bedroom suite an added touch of characteristic. Cherry veneers and select hardwoods in espresso finish with bold hardware accent give the Glamour Collection a desired look to your home decor.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1349-1.jpg
8201BLK-3,Jude Collection ,"Plush seating with well-appointed features makes the Jude Collection a comfortable and functional addition to your living room. The seating group is offered in either brown or black leather gel match coverings for a bold, yet, neutral statement. Manual motion mechanisms operate with the pull of a side-mounted tab, that once engaged, take you from seated to reclined in an easy motion. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends and a drop down center seat back with cup-holders and tabletop space, the dual glider reclining ends of the love seat flank a center mounted console with storage and cup-holders, and the chair features a glider mechanism that allows for easy back and forth motion.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8201BLK.jpg
1422-1,Aris Collection ,"Classic in design and bold in style, the Aris Collection makes for an inviting presence in your bedroom. Large bun feet serve to support the massive yet elegantly simple case pieces, while the warm brown cherry finish on select hardwoods and veneers completes the overall look.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1422-1.jpg
8367CH-3,Emilio Collection ,"Subtle texture lends visual and tactile interest in the Emilio Collection. The set-up process allows you to configure the three-seat unit to accommodate the chaise on either the left or right side, providing for perfect placement within your living space. The accompanying ottoman can be an added comfort to put feet up when relaxing. The collection is offered in either taupe or chocolate, furthering the versatility of the sectional seating group.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8367CH-3 8367CH-5 8367CH-4.jpg
2456-64,Decatur Collection ,"The casual Decatur Collection is the transitional style that you have been searching for in your dining space. Wood legs in espresso finish support both the marble table top and chair seats. Covered in dark brown bi-cast vinyl, the tufted accenting on the chair and bench lend not only to the design but also to your comfort, when you sit with family and friends over a casual meal. Also available in counter height dining.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2456-64.jpg
8226GY,Savarin Collection ,"One need not feel constricted by the spatial limitations of their home’s layout with the Savarin Collection. The modular sectional allows for the extension of either the left or right side with the swap of the individual chair and ottoman components. Decorative versatility comes in the form of the two fabric options, dark brown or light gray and stitch tufting that furthers the transitional styling to complete the look.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8226GY.jpg
8226DB,Savarin Collection ,"One need not feel constricted by the spatial limitations of their home’s layout with the Savarin Collection. The modular sectional allows for the extension of either the left or right side with the swap of the individual chair and ottoman components. Decorative versatility comes in the form of the two fabric options, dark brown or light gray and stitch tufting that furthers the transitional styling to complete the look.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8226DB.jpg
1270F1S,Arles Collection ,"The slender-back profile of the Arles Collection gracefully gives way to the ample seat of this modern-traditional accent chair. High polish nail head accenting provides perfect contrast to the bold-hued coverings that are offered - blue, orange, and grey.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1270F1S.jpg
1193F2S,Barlowe Collection ,A tasteful accent to any room in your home is the Barlowe Collection. The dark cherry finish of the wood legs is a perfect contrast for either the oatmeal linen or the French note linen-like fabric offerings.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1193F2S revised_2014H-83.jpg
